string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,label,og_label,depmap_class,final_classification,depmap_dependent_lines,depmap_total_lines,depmap_pct_lines,n_approved_drugs,n_approved_drugs_drugcentral,n_approved_drugs_dgidb,n_drugbank_drugs,n_total_approved_drugs,any_approved_drug,drugbank_ids,n_total_cancer_trials,n_active_trials,n_completed_trials,n_chembl_activities,n_distinct_molecules,n_clinical_or_approved_compounds,protein_role,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,depmap_is_ceg,depmap_is_cseg_flag
9606.ENSP00000044462,PSMA4,PSA4_HUMAN,D3DW86,Proteasome subunit alpha type-4,1,CEGs,DEPMAP-CEG,CEG_combined,1205,1208,99.75,3,0,3,0,3,True,,0,0,0,1018,549,0,peripheral,79.0,0.004974498,0.000479386,0.270241921,0.00202032,0.00013022,40.0,0.460882704,72676.0,3.0,1094.0,0.336164076,2.291849311,6.0,True,False
9606.ENSP00000055077,RFC2,RFC2_HUMAN,B5BU07,Replication factor C subunit 2,1,CEGs,DEPMAP-CEG,CEG_combined,1202,1208,99.5,0,0,0,0,0,False,,1,1,0,7,1,0,peripheral,66.0,0.00415591,6.19e-05,0.251220607,0.000155388,9.88e-05,39.0,0.392875326,56241.0,5.0,888.0,0.05922865,1.17201417,2.0,True,False
9606.ENSP00000081029,MRPS35,RT35_HUMAN,P82673,"28S ribosomal protein S35, mitochondrial",1,UNLABELED,DEPMAP-intermediate,unclassified,603,1208,49.92,0,0,0,0,0,False,,0,0,0,2,1,0,peripheral,144.0,0.009067439,0.0,0.261931575,0.031369017,0.000110244,86.0,0.584557286,131568.0,17.0,842.0,0.081018519,0.529266265,3.0,False,False
9606.ENSP00000156109,GPKOW,GPKOW_HUMAN,Q59EK5,G-patch domain and KOW motifs-containing protein,1,CEGs,DEPMAP-CEG,CEG_combined,1187,1208,98.26,0,0,0,0,0,False,,0,0,0,2,1,0,peripheral,60.0,0.0037781,0.001156389,0.249424913,0.000823621,8.57e-05,44.0,0.492110638,51107.0,11.0,893.0,0.273888889,0.62310783,7.0,True,False
9606.ENSP00000156471,AQR,AQR_HUMAN,A0JP17,RNA helicase aquarius,1,CEGs,DEPMAP-CEG,CEG_combined,1190,1208,98.51,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,83.0,0.005226371,7.93e-09,0.250313419,0.001110475,0.000102952,53.0,0.66345666,75896.0,11.0,893.0,0.023806068,1.485798207,1.0,True,True
9606.ENSP00000157812,PSMC4,PRS6B_HUMAN,P43686,26S proteasome regulatory subunit 6B,1,UNLABELED,DEPMAP-CEG,CEG_combined,1196,1208,99.01,3,0,3,0,3,True,,0,0,0,395,314,0,peripheral,82.0,0.005163403,4.8e-05,0.269448885,0.006173689,0.000113851,40.0,0.45297597,73501.0,3.0,1094.0,0.356930399,2.291849311,4.0,True,True
9606.ENSP00000181839,CDK13,CDK13_HUMAN,Q14004,Cyclin-dependent kinase 13,1,UNLABELED,DEPMAP-CSEG-like,CSEG_combined,132,1208,10.93,0,0,0,0,0,False,,0,0,0,956,582,0,peripheral,20.0,0.001259367,9.42e-05,0.232998555,0.000171831,3.89e-05,18.0,0.557263571,16896.0,7.0,1183.0,0.265,-0.392651417,2.0,False,False
9606.ENSP00000198767,RRN3,RRN3_HUMAN,A2RTY9,,1,CEGs,DEPMAP-CEG,CEG_combined,380,380,100.0,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,27.0,0.001700145,0.000115952,0.2458586,0.001694591,4.83e-05,22.0,0.49901522,24552.0,7.0,1183.0,0.485596708,-0.372127994,3.0,True,False
9606.ENSP00000199320,DIMT1,DIM1_HUMAN,O76025,Probable dimethyladenosine transferase,1,CEGs,DEPMAP-CEG,CEG_combined,1129,1208,93.46,0,0,0,0,0,False,,0,0,0,2,1,0,peripheral,123.0,0.007745104,2.08e-06,0.259711726,0.025015658,9.8e-05,87.0,0.568503826,107321.0,17.0,842.0,0.016127966,0.349499345,1.0,True,False
9606.ENSP00000204549,PDCD7,PDCD7_HUMAN,Q8N8D1,Programmed cell death protein 7,1,CEGs,DEPMAP-CEG,CEG_combined,1022,1208,84.6,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,23.0,0.001448272,0.0,0.225651231,0.000275106,3.34e-05,23.0,0.860966972,19045.0,11.0,893.0,0.0,-0.15609638,0.0,True,False
9606.ENSP00000206474,HAUS4,HAUS4_HUMAN,B7WP17,HAUS augmin-like complex subunit 4,1,CEGs,DEPMAP-CEG,CEG_combined,1190,1208,98.51,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,9.0,0.000566715,0.0,0.203186501,7.54e-07,4.24e-05,9.0,0.828013677,8616.0,5.0,888.0,0.0,-0.540870265,0.0,True,True
9606.ENSP00000209728,CDC6,CDC6_HUMAN,Q8TB30,Cell division control protein 6 homolog,1,CEGs,DEPMAP-CEG,CEG_combined,1206,1208,99.83,0,0,0,0,0,False,,1,0,0,1,1,0,provincial_hub,129.0,0.008122914,0.000337582,0.270960304,0.000495951,0.00018394,41.0,0.23680581,109368.0,5.0,888.0,0.189411694,2.791468545,7.0,True,True
9606.ENSP00000215793,SF3A1,SF3A1_HUMAN,E9PAW1,Splicing factor 3A subunit 1,1,CEGs,DEPMAP-CEG,CEG_combined,1206,1208,99.83,0,0,0,0,0,False,,0,0,0,8,2,0,provincial_hub,124.0,0.007808073,2.44e-05,0.254455904,0.001624421,0.00015608,55.0,0.482628868,114500.0,11.0,893.0,0.015998959,2.626775801,1.0,True,False
9606.ENSP00000215829,SNRPD3,SMD3_HUMAN,B4DJP7,Small nuclear ribonucleoprotein Sm D3,1,CEGs,DEPMAP-CEG,CEG_combined,383,383,100.0,0,0,0,0,0,False,,0,0,0,8,2,0,provincial_hub,203.0,0.01278257,0.000339014,0.269067946,0.003224577,0.000258691,55.0,0.266330503,184129.0,11.0,893.0,0.192530758,4.268670388,5.0,True,False
9606.ENSP00000215980,CENPM,CENPM_HUMAN,A7LM22,Centromere protein M,1,CEGs,DEPMAP-CEG,CEG_combined,1153,1208,95.45,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,73.0,0.004596688,1.35e-05,0.250783369,0.00052396,9.11e-05,46.0,0.43968215,61561.0,7.0,1183.0,0.499906174,0.017817037,1.0,True,False
9606.ENSP00000216027,HSCB,HSC20_HUMAN,Q8IWL3,Iron-sulfur cluster co-chaperone protein HscB,1,UNLABELED,DEPMAP-intermediate,unclassified,800,1208,66.23,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,29.0,0.001826081,0.000194504,0.254011641,0.000348782,6.35e-05,18.0,0.229545275,23685.0,12.0,518.0,0.504161712,-0.296477883,6.0,True,True
9606.ENSP00000216034,TOMM22,TOM22_HUMAN,Q9NS69,,1,UNLABELED,DEPMAP-CEG,CEG_combined,1198,1208,99.17,0,0,0,0,0,False,,0,0,0,2,1,0,peripheral,46.0,0.002896543,7.65e-05,0.243683605,7.98e-05,0.000102287,21.0,0.328680381,39854.0,12.0,518.0,0.201323251,0.305217343,3.0,True,False
9606.ENSP00000216122,MCM5,MCM5_HUMAN,O60785,DNA replication licensing factor MCM5,1,CEGs,DEPMAP-CEG,CEG_combined,1204,1208,99.67,0,0,0,0,0,False,,3,0,0,13,4,0,peripheral,109.0,0.006863548,0.000182064,0.261927845,0.00025877,0.000164962,40.0,0.26151129,95711.0,5.0,888.0,0.28061611,2.044028064,5.0,True,False
9606.ENSP00000216190,EIF3D,EIF3D_HUMAN,A8MWD3,,1,CEGs,DEPMAP-CEG,CEG_combined,1204,1208,99.67,0,0,0,0,0,False,,0,0,0,6,3,0,peripheral,85.0,0.005352308,0.000134438,0.271022582,0.024441949,8.46e-05,64.0,0.653101312,78309.0,17.0,842.0,0.216470588,-0.178565983,4.0,True,False
9606.ENSP00000216225,RBX1,RBX1_HUMAN,B2RDY1,E3 ubiquitin-protein ligase RBX1,1,CEGs,DEPMAP-CEG,CEG_combined,1167,1208,96.61,6,0,6,0,6,True,,3,0,2,3,2,0,provincial_hub,251.0,0.01580505,0.005518248,0.297198629,0.003258527,0.000480512,41.0,0.086305805,225479.0,3.0,1094.0,0.567514801,6.782073316,8.0,True,True
9606.ENSP00000216252,PHF5A,PHF5A_HUMAN,Q7RTV0,PHD finger-like domain-containing protein 5A,1,CEGs,DEPMAP-CEG,CEG_combined,1208,1208,100.0,0,0,0,0,0,False,,0,0,0,6,1,0,peripheral,116.0,0.007304326,9.66e-05,0.2551538,0.001571885,0.00014531,55.0,0.528069904,108074.0,11.0,893.0,0.017092747,2.404146026,1.0,True,False
9606.ENSP00000216294,SNAPC1,SNPC1_HUMAN,Q16533,snRNA-activating protein complex subunit 1,1,CEGs,DEPMAP-CEG,CEG_combined,1205,1208,99.75,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,12.0,0.00075562,7.14e-08,0.23092554,0.000106707,2.81e-05,10.0,0.593305937,10706.0,7.0,1183.0,0.0,-0.49526853,0.0,True,False
