string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,protein_role,label
9606.ENSP00000002125,NDUFAF7,NDUF7_HUMAN,Q7L592,,22.0,0.001385303,1.11e-07,0.221256827,0.000191223,3.23e-05,20.0,0.652417409,17058.0,12.0,518.0,0.0,-0.239173576,0.0,peripheral,0
9606.ENSP00000003084,CFTR,CFTR_HUMAN,P13569,,72.0,0.00453372,0.00255442,0.281604554,0.00026197,0.000208184,25.0,0.065574374,62052.0,3.0,1094.0,0.780478395,0.264006212,9.0,connector,0
9606.ENSP00000005178,PDK4,PDK4_HUMAN,Q16654,,19.0,0.001196398,2.99e-05,0.24958397,4.45e-05,4.26e-05,14.0,0.210808237,14891.0,8.0,1936.0,0.725761773,-0.520973313,6.0,connector,0
9606.ENSP00000005284,CACNG3,CCG3_HUMAN,O60359,,55.0,0.003463258,1.84e-06,0.235550047,1.52e-05,0.000111557,32.0,0.426384995,44611.0,4.0,2493.0,0.035702479,2.158284114,1.0,peripheral,0
9606.ENSP00000005286,TMEM132A,T132A_HUMAN,Q24JP5,Transmembrane protein 132A,1.0,6.3e-05,0.0,0.21292565,1.04e-05,1.09e-05,1.0,0.0,723.0,3.0,1094.0,0.0,-0.749915338,0.0,peripheral,0
9606.ENSP00000008527,CRY1,CRY1_HUMAN,Q16526,Cryptochrome-1,40.0,0.002518733,0.000223201,0.252577984,0.000229035,9.25e-05,22.0,0.27134651,36416.0,20.0,1252.0,0.6175,0.789177671,6.0,peripheral,0
9606.ENSP00000008938,PGLYRP1,PGRP1_HUMAN,O75594,Peptidoglycan recognition protein 1,10.0,0.000629683,2.57e-05,0.245147755,3.05e-05,3.26e-05,9.0,0.270343846,7982.0,1.0,2329.0,0.18,-0.477042868,1.0,peripheral,0
9606.ENSP00000012443,PPP5C,PPP5_HUMAN,P53041,Serine/threonine-protein phosphatase 5,31.0,0.001952018,3.05e-05,0.265272985,0.000569898,5.91e-05,26.0,0.592371238,26882.0,3.0,1094.0,0.289281998,0.457134126,4.0,peripheral,0
9606.ENSP00000019103,SCTR,SCTR_HUMAN,P47872,Secretin receptor,14.0,0.000881557,0.000287719,0.238890835,1.07e-05,5.93e-05,11.0,0.388674162,12154.0,4.0,2493.0,0.0,0.042560584,0.0,peripheral,0
9606.ENSP00000027335,CDH17,CAD17_HUMAN,Q12864,Cadherin-17,57.0,0.003589195,0.000537126,0.274914318,0.000253582,0.000144311,26.0,0.155091913,46288.0,1.0,2329.0,0.739304401,-0.160320624,7.0,connector,0
9606.ENSP00000040877,TARBP1,TARB1_HUMAN,Q13395,Probable methyltransferase TARBP1,14.0,0.000881557,1.16e-05,0.231227708,0.001081102,2.36e-05,13.0,0.176169895,10679.0,17.0,842.0,0.255102041,-0.886398232,2.0,peripheral,0
9606.ENSP00000044462,PSMA4,PSA4_HUMAN,D3DW86,Proteasome subunit alpha type-4,79.0,0.004974498,0.000479386,0.270241921,0.00202032,0.00013022,40.0,0.460882704,72676.0,3.0,1094.0,0.336164076,2.291849311,6.0,peripheral,1
9606.ENSP00000052754,DCN,PGS2_HUMAN,P07585,Decorin,84.0,0.005289339,0.001661999,0.276463288,0.000144597,0.000191584,33.0,0.175017673,74026.0,1.0,2329.0,0.157596372,1.480876459,4.0,peripheral,0
9606.ENSP00000053243,TNFRSF17,TNR17_HUMAN,Q02223,,17.0,0.001070462,1.09e-05,0.228524706,1.13e-05,4.42e-05,12.0,0.317347589,14530.0,1.0,2329.0,0.0,-0.246699418,0.0,peripheral,0
9606.ENSP00000054666,VAMP3,VAMP3_HUMAN,Q15836,Vesicle-associated membrane protein 3,60.0,0.0037781,0.000215044,0.244836351,1.69e-05,0.000142349,28.0,0.42079769,53028.0,25.0,998.0,0.095,2.872589018,1.0,provincial_hub,0
9606.ENSP00000054668,UTS2,UTS2_HUMAN,O95399,Urotensin-2,7.0,0.000440778,0.00013286,0.211796853,1.4e-06,3.69e-05,5.0,0.203733005,5778.0,4.0,2493.0,0.0,-0.327691034,0.0,peripheral,0
9606.ENSP00000055077,RFC2,RFC2_HUMAN,B5BU07,Replication factor C subunit 2,66.0,0.00415591,6.19e-05,0.251220607,0.000155388,9.88e-05,39.0,0.392875326,56241.0,5.0,888.0,0.05922865,1.17201417,2.0,peripheral,1
9606.ENSP00000072869,ADCK2,ADCK2_HUMAN,Q7Z695,,3.0,0.000188905,0.0,0.165670277,3.66e-08,2.19e-05,3.0,0.563391217,2326.0,8.0,1936.0,0.0,-0.837183262,0.0,peripheral,0
9606.ENSP00000081029,MRPS35,RT35_HUMAN,P82673,"28S ribosomal protein S35, mitochondrial",144.0,0.009067439,0.0,0.261931575,0.031369017,0.000110244,86.0,0.584557286,131568.0,17.0,842.0,0.081018519,0.529266265,3.0,peripheral,1
9606.ENSP00000086933,GSC2,GSC2_HUMAN,O15499,Homeobox protein goosecoid-2,4.0,0.000251873,4.04e-07,0.190078541,1.05e-06,2.02e-05,4.0,0.386710195,3052.0,8.0,1936.0,0.0,-0.784481604,0.0,peripheral,0
9606.ENSP00000156109,GPKOW,GPKOW_HUMAN,Q59EK5,G-patch domain and KOW motifs-containing protein,60.0,0.0037781,0.001156389,0.249424913,0.000823621,8.57e-05,44.0,0.492110638,51107.0,11.0,893.0,0.273888889,0.62310783,7.0,peripheral,1
9606.ENSP00000156471,AQR,AQR_HUMAN,A0JP17,RNA helicase aquarius,83.0,0.005226371,7.93e-09,0.250313419,0.001110475,0.000102952,53.0,0.66345666,75896.0,11.0,893.0,0.023806068,1.485798207,1.0,peripheral,1
9606.ENSP00000157812,PSMC4,PRS6B_HUMAN,P43686,26S proteasome regulatory subunit 6B,82.0,0.005163403,4.8e-05,0.269448885,0.006173689,0.000113851,40.0,0.45297597,73501.0,3.0,1094.0,0.356930399,2.291849311,4.0,peripheral,1
9606.ENSP00000158762,ACAP1,ACAP1_HUMAN,Q15027,,4.0,0.000251873,0.0,0.210663608,8.96e-07,2.03e-05,4.0,0.278898696,3223.0,25.0,998.0,0.0,-0.678304263,0.0,peripheral,0
9606.ENSP00000158771,DERL2,DERL2_HUMAN,Q9GZP9,Derlin-2,34.0,0.002140923,0.000300043,0.249448071,0.000264682,9.23e-05,19.0,0.343557578,29952.0,3.0,1094.0,0.314878893,0.553698083,5.0,peripheral,0
9606.ENSP00000160262,ICAM3,ICAM3_HUMAN,P32942,Intercellular adhesion molecule 3,11.0,0.000692652,1.77e-06,0.236828247,1.2e-05,3.05e-05,11.0,0.462366869,9812.0,1.0,2329.0,0.165289256,-0.448249937,1.0,peripheral,0
9606.ENSP00000164227,BCL3,BCL3_HUMAN,P20749,B-cell lymphoma 3 protein,19.0,0.001196398,7.71e-05,0.261042381,0.000125467,4.04e-05,18.0,0.437519399,16339.0,1.0,2329.0,0.504155125,-0.361871143,4.0,peripheral,0
9606.ENSP00000165524,PRLH,PRRP_HUMAN,P81277,Prolactin-releasing peptide,6.0,0.00037781,1.21e-05,0.205457328,4.07e-06,3.28e-05,5.0,0.396140005,5005.0,4.0,2493.0,0.5,-0.486370299,2.0,peripheral,0
9606.ENSP00000166244,EPHA8,EPHA8_HUMAN,P29322,Ephrin type-A receptor 8,12.0,0.00075562,0.0,0.234975745,7.75e-06,3.46e-05,12.0,0.467594939,11005.0,1.0,2329.0,0.0,-0.390664074,0.0,peripheral,0
9606.ENSP00000167106,VASH1,VASH1_HUMAN,Q7L8A9,Tubulinyl-Tyr carboxypeptidase 1,4.0,0.000251873,1.29e-05,0.218829501,4.58e-06,2.37e-05,3.0,0.47294059,3705.0,22.0,371.0,0.0,-0.651221107,0.0,peripheral,0
9606.ENSP00000167586,KRT14,K1C14_HUMAN,P02533,"Keratin, type I cytoskeletal 14",19.0,0.001196398,3.4e-05,0.224339486,9.45e-06,7.08e-05,13.0,0.220245359,14835.0,27.0,129.0,0.459833795,0.278543759,2.0,peripheral,0
9606.ENSP00000169551,TIMM21,TIM21_HUMAN,Q9BVV7,,28.0,0.001763113,2.35e-05,0.231465647,0.000142623,6.18e-05,20.0,0.444941165,24168.0,12.0,518.0,0.257653061,-0.181869269,3.0,peripheral,0
9606.ENSP00000170168,REXO1,REXO1_HUMAN,Q8N1G1,RNA exonuclease 1 homolog,6.0,0.00037781,7.72e-05,0.20867855,1.82e-05,3.61e-05,4.0,0.174813077,5155.0,20.0,1252.0,0.444444444,-0.522332629,1.0,peripheral,0
9606.ENSP00000175091,LAPTM4A,LAP4A_HUMAN,Q15012,Lysosomal-associated transmembrane protein 4A,3.0,0.000188905,0.0,0.212323418,5.48e-06,2.03e-05,3.0,0.574707844,2540.0,1.0,2329.0,0.444444444,-0.678593387,1.0,peripheral,0
9606.ENSP00000176195,SCT,SECR_HUMAN,P09683,Secretin,33.0,0.002077955,0.000140172,0.245631373,1.83e-05,9.63e-05,19.0,0.360700372,27929.0,4.0,2493.0,0.058769513,0.994636172,1.0,peripheral,0
9606.ENSP00000177694,TBX21,TBX21_HUMAN,Q9UL17,T-box transcription factor TBX21,83.0,0.005226371,0.000150101,0.265522445,0.000155417,0.000131236,40.0,0.273817353,67113.0,1.0,2329.0,0.236899405,1.336911803,2.0,peripheral,0
9606.ENSP00000177742,MRPS34,RT34_HUMAN,P82930,"28S ribosomal protein S34, mitochondrial",100.0,0.006296833,3.3e-05,0.237779341,0.017766283,7.86e-05,86.0,0.782596498,92841.0,17.0,842.0,0.0198,0.091084397,1.0,peripheral,0
9606.ENSP00000181839,CDK13,CDK13_HUMAN,Q14004,Cyclin-dependent kinase 13,20.0,0.001259367,9.42e-05,0.232998555,0.000171831,3.89e-05,18.0,0.557263571,16896.0,7.0,1183.0,0.265,-0.392651417,2.0,peripheral,1
9606.ENSP00000186436,TMEM131,TM131_HUMAN,Q92545,Transmembrane protein 131,1.0,6.3e-05,0.0,0.169589396,2.92e-08,1.47e-05,1.0,0.0,702.0,19.0,419.0,0.0,-1.04113943,0.0,peripheral,0
9606.ENSP00000194130,SLC13A1,S13A1_HUMAN,Q9BZW2,Solute carrier family 13 member 1,4.0,0.000251873,0.000134962,0.210698571,1.61e-05,3.26e-05,3.0,0.0,3261.0,1.0,2329.0,0.625,-0.678593387,2.0,connector,0
9606.ENSP00000198767,RRN3,RRN3_HUMAN,A2RTY9,,27.0,0.001700145,0.000115952,0.2458586,0.001694591,4.83e-05,22.0,0.49901522,24552.0,7.0,1183.0,0.485596708,-0.372127994,3.0,peripheral,1
9606.ENSP00000199280,AQP2,AQP2_HUMAN,P41181,Aquaporin-2,22.0,0.001385303,0.000443863,0.246620442,2.39e-05,7.69e-05,12.0,0.124426797,18029.0,4.0,2493.0,0.247933884,0.307026025,3.0,peripheral,0
9606.ENSP00000199320,DIMT1,DIM1_HUMAN,O76025,Probable dimethyladenosine transferase,123.0,0.007745104,2.08e-06,0.259711726,0.025015658,9.8e-05,87.0,0.568503826,107321.0,17.0,842.0,0.016127966,0.349499345,1.0,peripheral,1
9606.ENSP00000199447,NME8,TXND3_HUMAN,Q8N427,Thioredoxin domain-containing protein 3,44.0,0.002770606,0.000602037,0.225725751,7.53e-06,0.000128517,17.0,0.209536055,35139.0,22.0,371.0,0.505165289,1.482501311,5.0,peripheral,0
9606.ENSP00000199708,HBQ1,HBAT_HUMAN,P09105,Hemoglobin subunit theta-1,14.0,0.000881557,0.000138737,0.21831885,8.35e-05,4.99e-05,13.0,0.498858211,12150.0,24.0,93.0,0.469387755,0.283426424,4.0,peripheral,0
9606.ENSP00000199764,CEACAM6,CEAM6_HUMAN,P40199,,5.0,0.000314842,5.39e-07,0.219075535,3.57e-06,2.09e-05,5.0,0.260839799,4003.0,1.0,2329.0,0.0,-0.592214593,0.0,peripheral,0
9606.ENSP00000200557,ADAM11,ADA11_HUMAN,O75078,,2.0,0.000125937,0.0,0.189989144,7.94e-08,1.97e-05,2.0,0.0,1631.0,4.0,2493.0,0.0,-0.592156475,0.0,peripheral,0
9606.ENSP00000200676,CETP,CETP_HUMAN,P11597,Cholesteryl ester transfer protein,43.0,0.002707638,2.17e-05,0.247813215,2.5e-05,9.68e-05,25.0,0.453818339,36714.0,1.0,2329.0,0.353704705,0.242780414,4.0,peripheral,0
9606.ENSP00000200691,MT3,MT3_HUMAN,P25713,Metallothionein-3,2.0,0.000125937,0.0,0.18018857,5.26e-08,2.21e-05,2.0,0.798571728,1616.0,23.0,89.0,0.0,-0.815762815,0.0,peripheral,0
9606.ENSP00000202625,TGM6,TGM3L_HUMAN,O95932,Protein-glutamine gamma-glutamyltransferase 6,1.0,6.3e-05,0.0,0.149522795,7.15e-09,2.25e-05,1.0,0.0,771.0,3.0,1094.0,0.0,-0.749915338,0.0,peripheral,0
9606.ENSP00000202677,RALGAPA2,RGPA2_HUMAN,Q2PPJ7,Ral GTPase-activating protein subunit alpha-2,5.0,0.000314842,8.3e-05,0.219314083,3.45e-06,3.7e-05,3.0,0.249630426,4087.0,19.0,419.0,0.56,-0.765650058,2.0,peripheral,0
9606.ENSP00000203630,MLF2,MLF2_HUMAN,Q15773,Myeloid leukemia factor 2,4.0,0.000251873,1.48e-06,0.204122007,1.05e-06,2.01e-05,4.0,0.125516152,3080.0,3.0,1094.0,0.625,-0.749915338,2.0,connector,0
9606.ENSP00000204549,PDCD7,PDCD7_HUMAN,Q8N8D1,Programmed cell death protein 7,23.0,0.001448272,0.0,0.225651231,0.000275106,3.34e-05,23.0,0.860966972,19045.0,11.0,893.0,0.0,-0.15609638,0.0,peripheral,1
9606.ENSP00000206474,HAUS4,HAUS4_HUMAN,B7WP17,HAUS augmin-like complex subunit 4,9.0,0.000566715,0.0,0.203186501,7.54e-07,4.24e-05,9.0,0.828013677,8616.0,5.0,888.0,0.0,-0.540870265,0.0,peripheral,1
9606.ENSP00000206513,CEBPE,CEBPE_HUMAN,Q15744,CCAAT/enhancer-binding protein epsilon,11.0,0.000692652,2.24e-05,0.23404762,1.61e-05,3.47e-05,9.0,0.173538982,9004.0,20.0,1252.0,0.661157025,-0.522332629,2.0,connector,0
