protein_id,protein_name,gene_name
Q92506,-3-hydroxyacyl-CoA dehydrogenase,HSD17B8
Q8TB40,-N-acylphosphatidylethanolamine lipase,ABHD4
Q07973,"1,25-dihydroxyvitamin D 24-hydroxylase, mitochondrial 24-hydroxylase)",CYP24A1
Q04446,"1,4-alpha-glucan-branching enzyme",GBE1
Q99943,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,AGPAT1
O15120,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,AGPAT2
Q9NRZ5,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,AGPAT4
Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,AGPAT5
Q9NRZ7,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,AGPAT3
Q8WTS1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,ABHD5
Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3,PNPLA3
Q96QU6,1-aminocyclopropane-1-carboxylate synthase-like protein 1,ACCS
Q9Y2I7,1-phosphatidylinositol 3-phosphate 5-kinase,PIKFYVE
Q9NQ66,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",PLCB1
Q00722,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",PLCB2
Q01970,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",PLCB3
Q15147,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4",PLCB4
P51178,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",PLCD1
Q8N3E9,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3",PLCD3
Q9BRC7,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4",PLCD4
Q9P212,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1",PLCE1
Q4KWH8,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",PLCH1
O75038,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",PLCH2
P19174,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",PLCG1
P16885,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2
Q86YW0,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1",PLCZ1
P61604,"10 kDa heat shock protein, mitochondrial",HSPE1
P28845,11-beta-hydroxysteroid dehydrogenase 1,HSD11B1
P80365,11-beta-hydroxysteroid dehydrogenase type 2,HSD11B2
Q15029,116 kDa U5 small nuclear ribonucleoprotein component,EFTUD2
O00270,"12--hydroxy-5,8,10,14-eicosatetraenoic acid receptor -HETE receptor)",GPR31
A6NJ78,12S rRNA N-cytidine methyltransferase METTL15,METTL15
Q9NRX4,14 kDa phosphohistidine phosphatase,PHPT1
P31946,"14-3-3 protein beta/alpha [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]",YWHAB
P62258,14-3-3 protein epsilon,YWHAE
Q04917,14-3-3 protein eta,YWHAH
P61981,"14-3-3 protein gamma [Cleaved into: 14-3-3 protein gamma, N-terminally processed]",YWHAG
P31947,14-3-3 protein sigma,SFN
P27348,14-3-3 protein theta,YWHAQ
P63104,14-3-3 protein zeta/delta,YWHAZ
P15428,15-hydroxyprostaglandin dehydrogenase [NAD] ]),HPGD
Q7Z5P4,17-beta-hydroxysteroid dehydrogenase 13,HSD17B13
P37059,17-beta-hydroxysteroid dehydrogenase type 2,HSD17B2
P37058,17-beta-hydroxysteroid dehydrogenase type 3,HSD17B3
O14756,17-beta-hydroxysteroid dehydrogenase type 6,HSD17B6
O43719,17S U2 SnRNP complex component HTATSF1,HTATSF1
Q9C0C2,182 kDa tankyrase-1-binding protein,TNKS1BP1
Q9UJK0,18S rRNA aminocarboxypropyltransferase,TSR3
P09543,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",CNP
Q6L8Q7,"2',5'-phosphodiesterase 12",PDE12
P00973,2'-5'-oligoadenylate synthase 1 oligo synthase 1),OAS1
P29728,2'-5'-oligoadenylate synthase 2 oligo synthase 2),OAS2
Q9Y6K5,2'-5'-oligoadenylate synthase 3 oligo synthase 3),OAS3
Q15646,2'-5'-oligoadenylate synthase-like protein,OASL
Q16698,"2,4-dienoyl-CoA reductase [-enoyl-CoA-producing], mitochondrial",DECR1
Q05823,2-5A-dependent ribonuclease,RNASEL
Q9UJM8,2-Hydroxyacid oxidase 1,HAO1
Q9NYQ3,"2-Hydroxyacid oxidase 2 -2-hydroxy-acid oxidase, peroxisomal)",HAO2
Q96PD6,2-acylglycerol O-acyltransferase 1,MOGAT1
Q3SYC2,2-acylglycerol O-acyltransferase 2,MOGAT2
Q86VF5,2-acylglycerol O-acyltransferase 3,MOGAT3
Q8TDX5,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,ACMSD
O75600,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",GCAT
Q96SZ5,2-aminoethanethiol dioxygenase,ADO
Q9H2A2,2-aminomuconic semialdehyde dehydrogenase,ALDH8A1
Q9BZG8,2-histidine synthase subunit 1,DPH1
Q9BQC3,2-histidine synthase subunit 2,DPH2
Q9UJ83,2-hydroxyacyl-CoA lyase 1,HACL1
A1L0T0,2-hydroxyacyl-CoA lyase 2,ILVBL
Q16880,2-hydroxyacylsphingosine 1-beta-galactosyltransferase,UGT8
P52758,2-iminobutanoate/2-iminopropanoate deaminase,RIDA
Q5HYK3,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",COQ5
Q96HY7,2-oxoadipate dehydrogenase complex component E1,DHTKD1
Q6N063,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2,OGFOD2
Q9ULD0,"2-oxoglutarate dehydrogenase-like, mitochondrial",OGDHL
Q96P68,2-oxoglutarate receptor 1,OXGR1
P12694,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",BCKDHA
P21953,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",BCKDHB
Q8TE99,2-phosphoxylose phosphatase 1,PXYLP1
Q9NYL5,24-hydroxycholesterol 7-alpha-hydroxylase,CYP39A1
O15528,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial 1-alpha-hydroxylase)",CYP27B1
Q99460,26S proteasome non-ATPase regulatory subunit 1,PSMD1
O75832,26S proteasome non-ATPase regulatory subunit 10 ),PSMD10
O00231,26S proteasome non-ATPase regulatory subunit 11,PSMD11
O00232,26S proteasome non-ATPase regulatory subunit 12,PSMD12
Q9UNM6,26S proteasome non-ATPase regulatory subunit 13,PSMD13
Q13200,26S proteasome non-ATPase regulatory subunit 2,PSMD2
O43242,26S proteasome non-ATPase regulatory subunit 3,PSMD3
Q16401,26S proteasome non-ATPase regulatory subunit 5,PSMD5
Q15008,26S proteasome non-ATPase regulatory subunit 6,PSMD6
P51665,26S proteasome non-ATPase regulatory subunit 7,PSMD7
P48556,26S proteasome non-ATPase regulatory subunit 8,PSMD8
O00233,26S proteasome non-ATPase regulatory subunit 9,PSMD9
P62191,26S proteasome regulatory subunit 4,PSMC1
P17980,26S proteasome regulatory subunit 6A,PSMC3
P43686,26S proteasome regulatory subunit 6B,PSMC4
P35998,26S proteasome regulatory subunit 7,PSMC2
P62195,26S proteasome regulatory subunit 8,PSMC5
Q13442,28 kDa heat- and acid-stable phosphoprotein,PDAP1
Q5T280,28S rRNA )-methyltransferase,SPOUT1
Q96P11,28S rRNA )-methyltransferase,NSUN5
P46087,28S rRNA -C)-methyltransferase,NOP2
Q9H2F3,3 beta-hydroxysteroid dehydrogenase type 7 -C27 steroid oxidoreductase) 3-beta-HSD),HSD3B7
P14060,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 -steroid dehydrogenase),HSD3B1
P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 [Includes: 3-beta-hydroxy-Delta-steroid dehydrogenase ; Steroid Delta-isomerase ],HSD3B2
O95861,"3',5'-bisphosphate nucleotidase 1",BPNT1
P27815,"3',5'-cyclic-AMP phosphodiesterase 4A",PDE4A
Q07343,"3',5'-cyclic-AMP phosphodiesterase 4B",PDE4B
Q08493,"3',5'-cyclic-AMP phosphodiesterase 4C",PDE4C_HUMAN
Q08499,"3',5'-cyclic-AMP phosphodiesterase 4D",PDE4D
Q9NP56,"3',5'-cyclic-AMP phosphodiesterase 7B",PDE7B
Q9H6S0,3'-5' RNA helicase YTHDC2,YTHDC2
Q93075,3'-5' RNA nuclease TATDN2,TATDN2
Q8IV48,3'-5' exoribonuclease 1,ERI1
Q15125,"3-beta-hydroxysteroid-Delta,Delta-isomerase -Delta sterol isomerase)",EBP
P21217,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3,FUT3
Q8TB92,"3-hydroxy-3-methylglutaryl-CoA lyase, cytoplasmic",HMGCLL1
P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR
Q99714,3-hydroxyacyl-CoA dehydrogenase type-2 -hydroxysteroid dehydrogenase )) -hydroxysteroid dehydrogenase),HSD17B10
P46952,"3-hydroxyanthranilate 3,4-dioxygenase",HAAO
P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",HIBADH
Q6NVY1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HIBCH
P56937,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7,HSD17B7
P42765,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2
P09110,"3-ketoacyl-CoA thiolase, peroxisomal",ACAA1
Q06136,3-ketodihydrosphingosine reductase,KDSR
P25325,3-mercaptopyruvate sulfurtransferase,MPST
P18405,3-oxo-5-alpha-steroid 4-dehydrogenase 1,SRD5A1
P31213,3-oxo-5-alpha-steroid 4-dehydrogenase 2,SRD5A2
Q8N4T8,3-oxoacyl-[acyl-carrier-protein] reductase,CBR4
Q9NWU1,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial",OXSM
O15530,3-phosphoinositide-dependent protein kinase 1,PDPK1
P80404,"4-aminobutyrate aminotransferase, mitochondrial -3-amino-2-methylpropionate transaminase)",ABAT
Q9Y231,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9,FUT9
Q11128,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5,FUT5
P51993,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6,FUT6
Q86XE5,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1
