string_id,gene_name,uniprot_ac,protein_name,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,protein_role,is_essential
9606.ENSP00000000233,ARF5,P84085,ADP-ribosylation factor 5,27,0.0017001448271519,9.096306170087126e-06,0.2333654105613364,1.3189825786388457e-05,8.506709312111411e-05,14,0.1984635479564349,21602,25,998,0.2606310013717421,0.594657478827344,2,peripheral,0
9606.ENSP00000158762,ACAP1,Q15027,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1",4,0.0002518733077262,0.0,0.2106636080438015,8.958058997158132e-07,2.0313114285316203e-05,4,0.278898695675642,3223,25,998,0.0,-0.6783042634987,0,peripheral,0
9606.ENSP00000357048,COPA,P53621,Coatomer subunit alpha [Cleaved into: Xenin ; Proxenin],32,0.0020149864618097,0.0001456836480771,0.2308155628713172,1.9286436204876346e-05,9.42939356155972e-05,16,0.2856076634503813,27147,25,998,0.17578125,0.9966453974566212,3,peripheral,1
9606.ENSP00000262305,RAB11FIP3,O75154,Rab11 family-interacting protein 3,22,0.0013853031924941,8.252498867125252e-05,0.2312547942405407,3.40695630186867e-06,7.372989304286112e-05,14,0.2239576682538654,18843,25,998,0.433884297520661,0.1256715737598541,3,peripheral,0
9606.ENSP00000329419,COPB2,P35606,Coatomer subunit beta',43,0.0027076380580567,0.0007807913929117,0.2438205636804263,0.0005724481956104,0.0001145327413333,17,0.2139089310008026,35742,25,998,0.2920497566252027,1.465631302524111,5,peripheral,1
9606.ENSP00000256682,ARF3,P61204,ADP-ribosylation factor 3,32,0.0020149864618097,6.942377002000235e-05,0.2457752291692596,2.9805385317858424e-05,8.058105285356822e-05,18,0.1068872953314153,24814,25,998,0.599609375,0.3266655330744926,5,peripheral,0
9606.ENSP00000314615,ARFGAP1,Q8N6T3,ADP-ribosylation factor GTPase-activating protein 1,18,0.0011334298847679,4.4870880828555326e-05,0.230213767593972,0.0001504260887452,5.155127509015009e-05,14,0.2100106412652637,14469,25,998,0.2962962962962961,0.0586735873216412,3,peripheral,0
9606.ENSP00000331342,RAB11FIP1,Q6WKZ4,Rab11 family-interacting protein 1,12,0.0007556199231786,3.671830651046504e-06,0.2169495775957242,1.004793981263242e-06,5.052589675234584e-05,9,0.4504870842849968,10937,25,998,0.0,-0.1423203719929972,0,peripheral,0
9606.ENSP00000389095,CYTH1,Q15438,Cytohesin-1,18,0.0011334298847679,0.0005757557349157,0.2481690623628979,2.2827113387462976e-05,7.706944939674367e-05,11,0.2170448602601473,15870,1,2329,0.5432098765432098,-0.4194570053578957,3,peripheral,0
9606.ENSP00000480301,IQSEC1,Q6DN90,IQ motif and SEC7 domain-containing protein 1,8,0.0005037466154524,6.24052600282612e-05,0.254864816861825,1.872609460494493e-05,2.757778375095503e-05,8,0.2233860413826418,6887,25,998,0.65625,-0.7453022499369129,2,connector,0
9606.ENSP00000261890,RAB11A,P62491,Ras-related protein Rab-11A,87,0.0054782444430451,0.0025332518763213,0.27029016280167,9.522364146457324e-05,0.0002530118863043,23,0.071211732814112,73367,25,998,0.4462940943321445,3.341574922794071,8,provincial_hub,0
9606.ENSP00000434442,ARFGAP2,Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2,15,0.0009445249039733,6.796455438330137e-06,0.2155188164228157,9.123910673661735e-06,4.881074842920621e-05,13,0.6184013201251255,12503,25,998,0.1244444444444443,-0.0083243991165715,1,peripheral,0
9606.ENSP00000249923,COPB1,P53618,Coatomer subunit beta,49,0.0030854480196461,0.0003261267642829,0.2342471485039705,2.2300477710702447e-05,0.0001354223876329,18,0.2588463208616117,41961,25,998,0.1174510620574759,2.1356111669062394,3,peripheral,1
9606.ENSP00000306010,ARF4,P18085,ADP-ribosylation factor 4,28,0.0017631131540834,0.0001410522245345,0.2494902219072565,3.1864596949603225e-05,7.761760275360469e-05,16,0.2521583358096084,22760,25,998,0.3647959183673469,0.5276594923891311,3,peripheral,0
9606.ENSP00000429900,ASAP1,Q9ULH1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",29,0.001826081481015,0.0002733491552489,0.266174497824611,5.959200252613765e-05,7.74135491585744e-05,22,0.1947328101587317,25162,1,2329,0.6587395957193817,-0.3618711427932142,3,connector,0
9606.ENSP00000482620,RAB11FIP4,Q86YS3,Rab11 family-interacting protein 4,11,0.000692651596247,3.235652063989143e-06,0.2228986263233217,1.848292443277944e-06,4.646349499461197e-05,9,0.3865751198313991,9786,25,998,0.1652892561983472,-0.2763163448694229,1,peripheral,0
9606.ENSP00000356737,GORAB,Q5T7V8,RAB6-interacting golgin,6,0.0003778099615893,2.669412952791044e-05,0.2221561320823005,4.699786859060781e-06,2.512194473984877e-05,6,0.1161952299010483,5256,25,998,0.6666666666666666,-0.7453022499369129,3,connector,0
9606.ENSP00000324287,ACAP2,Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",4,0.0002518733077262,1.7685059075234778e-06,0.2117738695830736,9.206298291534044e-07,2.1267128441302497e-05,4,0.2744401770500326,3448,25,998,0.0,-0.6783042634987,0,peripheral,0
9606.ENSP00000263245,ARFGAP3,Q9NP61,ADP-ribosylation factor GTPase-activating protein 3,13,0.0008185882501101,0.0,0.2158588853168812,8.934473340300008e-06,4.20026905967373e-05,13,0.7089988098748795,10866,25,998,0.0,-0.0753223855547844,0,peripheral,0
9606.ENSP00000296557,ARFIP1,P53367,Arfaptin-1,6,0.0003778099615893,1.5147292750537411e-06,0.2457388621042367,1.5629269576845885e-05,2.490220733462586e-05,6,0.5187461013004314,5201,25,998,0.2777777777777777,-0.6113062770604871,1,peripheral,0
9606.ENSP00000418915,CDKN2A,P42771,Cyclin-dependent kinase inhibitor 2A,146,0.0091933757320068,0.0023041332124299,0.3044751476176908,0.0017046148162041,0.0002612459763001,42,0.1265887780369491,120925,5,888,0.8247325952336273,0.4557170424559624,9,connector,0
9606.ENSP00000359000,GBF1,Q92538,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,17,0.0010704615578364,1.546451354112458e-06,0.2198219559980309,6.723347452957394e-06,5.0433166953037695e-05,14,0.369620870114905,13847,25,998,0.0,0.1926695601980669,0,peripheral,1
9606.ENSP00000307634,AGAP1,Q9UPQ3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",3,0.0001889049807946,0.0,0.2091670725611799,7.569131455649502e-07,1.674410162467926e-05,3,0.5546036358409588,2334,25,998,0.0,-0.7453022499369129,0,peripheral,0
9606.ENSP00000281419,ASAP2,O43150,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",8,0.0005037466154524,7.161259347505384e-06,0.2287078036797635,8.615066136486881e-06,2.954049980491618e-05,7,0.2556932370762168,6668,1,2329,0.53125,-0.5922145930519402,2,peripheral,0
9606.ENSP00000449270,COPZ1,P61923,Coatomer subunit zeta-1,23,0.0014482715194257,1.2990191374544647e-05,0.2191798078711751,1.1322707785168354e-05,7.130749337254222e-05,14,0.4902348531141113,19795,25,998,0.0,0.594657478827344,0,peripheral,1
9606.ENSP00000000412,M6PR,P20645,Cation-dependent mannose-6-phosphate receptor,7,0.0004407782885208,0.0,0.2238316679748884,6.654543981344763e-06,2.725979767749561e-05,7,0.4399963779792674,6217,25,998,0.2448979591836735,-0.5443082906222744,1,peripheral,0
9606.ENSP00000438085,GGA3,Q9NZ52,ADP-ribosylation factor-binding protein GGA3,24,0.0015112398463572,0.0003188703386982,0.2651368585752495,0.0009207605690202,5.9716420733418966e-05,18,0.1538797590817482,20534,25,998,0.7291666666666667,-0.2093183584312101,6,connector,0
9606.ENSP00000376792,VTI1A,Q96AJ9,Vesicle transport through interaction with t-SNAREs homolog 1A,72,0.0045337195390718,0.0001086322597365,0.2345699628929828,5.039755145383314e-05,0.0001716177117535,28,0.333972962451716,62066,25,998,0.0543981481481481,3.743562841423348,2,provincial_hub,0
9606.ENSP00000311962,GGA2,Q9UJY4,ADP-ribosylation factor-binding protein GGA2,14,0.0008815565770417,2.2601981329335927e-05,0.2470154344266296,2.137582804066393e-05,4.34021207848029e-05,13,0.269315736304089,12495,25,998,0.5306122448979591,-0.3433143313076358,3,peripheral,0
9606.ENSP00000371175,GGA1,Q9UJY5,ADP-ribosylation factor-binding protein GGA1,23,0.0014482715194257,0.0002497637894688,0.2527058334909299,3.5056055565433505e-05,7.3401986505581e-05,17,0.1813618596602084,20503,25,998,0.5444234404536861,0.0586735873216412,5,peripheral,0
9606.ENSP00000349437,IGF2R,P11717,Cation-independent mannose-6-phosphate receptor,39,0.0024557647503305,0.0007065617279143,0.2632033939192625,4.101743877012562e-05,0.0001101122178298,21,0.0818247528001253,32759,1,2329,0.63379355687048,-0.275492348946192,5,connector,0
9606.ENSP00000221957,PLIN3,O60664,Perilipin-3,14,0.0008815565770417,0.0001587055615307,0.2469074406749397,3.749080256767156e-05,4.720896494854679e-05,9,0.1026254622542849,11813,25,998,0.6020408163265306,-0.4103123177458486,3,peripheral,0
9606.ENSP00000001008,FKBP4,Q02790,"Peptidyl-prolyl cis-trans isomerase FKBP4 [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]",32,0.0020149864618097,0.0001740669783149,0.2764680894686183,0.0002468137799879,7.083264448386354e-05,23,0.3145834355121458,28430,3,1094,0.576171875,0.1674422546797282,5,peripheral,0
9606.ENSP00000351646,STIP1,P31948,Stress-induced-phosphoprotein 1,71,0.0044707512121402,0.0002634122139838,0.2753028298712432,0.0010434356884899,0.00013650480832,31,0.2639315500295723,61594,3,1094,0.3027177147391389,2.0504394181392143,5,peripheral,0
9606.ENSP00000350815,NR3C2,P08235,Mineralocorticoid receptor,24,0.0015112398463572,4.429195288573374e-05,0.2589142646529538,9.163498987009374e-05,5.674379468699728e-05,18,0.2099304260440687,19867,4,2493,0.7430555555555556,-0.1690117693728922,5,connector,0
9606.ENSP00000444810,FKBP5,Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5,42,0.0026446697311252,0.0001760258166968,0.2803629477832714,0.000266909376509,8.866493714274565e-05,25,0.1832997397048832,35700,3,1094,0.7732426303854876,-0.0256856595212446,7,connector,0
9606.ENSP00000401645,SERPINB2,P05120,Plasminogen activator inhibitor 2,11,0.000692651596247,2.92715484514312e-05,0.2353134401353038,1.0197980321864e-05,3.551160201514947e-05,10,0.26646889468615,9729,1,2329,0.396694214876033,-0.505835799204918,1,peripheral,0
9606.ENSP00000437125,HSPA8,P11142,Heat shock cognate 71 kDa protein,203,0.0127825703671053,0.0068562852620648,0.3149835199103868,0.0062094001590631,0.000371581191973,42,0.0889183775458419,175426,3,1094,0.7405663811303357,3.8368726244982136,12,network_hub,0
9606.ENSP00000359385,GLMN,Q92990,Glomulin,89,0.0056041810969082,0.0001287519883795,0.2610569178004227,0.0007145234512388,0.000150785358442,33,0.2321699810458631,68195,3,1094,0.2100744855447548,3.016078989144079,7,provincial_hub,0
9606.ENSP00000431512,HSF1,Q00613,Heat shock factor protein 1,53,0.0033373213273723,0.0002181923902856,0.2775551369792543,0.0012478162718433,9.23150282598008e-05,32,0.2914699117175843,43359,3,1094,0.4848700605197581,0.9882358900338633,4,peripheral,0
9606.ENSP00000378199,HSPA2,P54652,Heat shock-related 70 kDa protein 2,74,0.0046596561929349,0.0005127160333062,0.2669448863103679,0.0005094244182357,0.0001351537407676,32,0.2294213676591522,58962,3,1094,0.6117604090577065,0.7951079758328902,8,peripheral,0
9606.ENSP00000354558,MTOR,P42345,Serine/threonine-protein kinase mTOR,176,0.0110824255399534,0.0046844146147636,0.3112896843501208,0.0020715130308901,0.0003129017667016,40,0.1158723167112648,152615,3,1094,0.7631069214876032,2.6781051392923763,10,network_hub,0
9606.ENSP00000451828,AKT1,P31749,RAC-alpha serine/threonine-protein kinase,435,0.0273912222152257,0.0146230411153567,0.3406548009865347,0.0029316432513787,0.0007753905033072,42,0.068839203519474,367506,1,2329,0.8034773417888756,3.582760442887468,12,network_hub,0
9606.ENSP00000254322,DNAJB1,P25685,DnaJ homolog subfamily B member 1,71,0.0044707512121402,0.0003243423973358,0.2824878068705396,0.0008574955711909,0.0001432235599269,29,0.2469959507880793,61929,3,1094,0.3265225153739337,2.002157439588971,8,peripheral,0
9606.ENSP00000303754,PPID,Q08752,Peptidyl-prolyl cis-trans isomerase D,30,0.0018890498079466,6.543471857836868e-05,0.2807864851369486,0.0006816425265069,6.327857204270162e-05,23,0.2875032575377059,27281,3,1094,0.6799999999999999,-0.122249616621731,6,connector,0
9606.ENSP00000360609,HSP90AB1,P08238,Heat shock protein HSP 90-beta,307,0.0193312763679869,0.0048528462979091,0.3302438596880261,0.0055155846071772,0.0005579695024698,44,0.0692168931573813,261786,3,1094,0.8063958238283695,4.6093842813021055,12,network_hub,0
9606.ENSP00000302961,HSPA4,P34932,Heat shock 70 kDa protein 4,244,0.015364271771299,0.0064655426053692,0.3220270461730357,0.0042292134569457,0.0004583373503376,41,0.0762500256263758,207157,3,1094,0.737368986831497,4.561102302751862,14,network_hub,0
9606.ENSP00000371278,CDC37L1,Q7L3B6,Hsp90 co-chaperone Cdc37-like 1,9,0.0005667149423839,2.2435440414277663e-05,0.2549726167620003,0.0001033978970327,2.561170615855219e-05,8,0.4660413747725659,7291,3,1094,0.345679012345679,-0.4602234664734336,1,peripheral,0
9606.ENSP00000222005,CDC37,Q16543,"Hsp90 co-chaperone Cdc37 [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]",66,0.0041559095774825,9.309637151756998e-05,0.2873961020090526,0.0007913854687283,0.0001168406901919,34,0.2427561245516888,57938,3,1094,0.6056014692378328,1.0847998471343496,8,peripheral,1
9606.ENSP00000231509,NR3C1,P04150,Glucocorticoid receptor,89,0.0056041810969082,0.0006421103937867,0.2977688182138605,0.0011016717345244,0.0001595497937198,40,0.1802420674839054,75465,7,1183,0.8084837773008459,-0.2079406125298195,7,connector,0
9606.ENSP00000335153,HSP90AA1,P07900,Heat shock protein HSP 90-alpha,360,0.0226685976953592,0.0141584435107226,0.3373082063849003,0.0060438515515073,0.0006575315716967,44,0.0622322122018096,306643,3,1094,0.8251388888888889,4.3679743885508895,12,network_hub,0
9606.ENSP00000263038,PHYH,O14832,"Phytanoyl-CoA dioxygenase, peroxisomal",17,0.0010704615578364,0.0001363097737153,0.2201539785859936,6.894162808604833e-06,5.297224611684707e-05,15,0.4243373408210576,13844,8,1936,0.3044982698961938,-0.2574650221769721,2,peripheral,0
9606.ENSP00000325120,PGR,P06401,Progesterone receptor,73,0.0045966878660034,0.0005405918102791,0.2929458245758686,0.0005667599346393,0.0001480124979089,40,0.1694667273621899,62239,1,2329,0.8170388440607994,-0.1315276925344883,9,connector,0
9606.ENSP00000292169,S100A1,P23297,Protein S100-A1,24,0.0015112398463572,0.0001631942357175,0.2622215632579613,0.0001227177963667,6.988048657672836e-05,17,0.1544012302089706,18982,4,2493,0.7013888888888888,-0.2219048576288073,5,connector,0
9606.ENSP00000216479,AHSA1,O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,31,0.0019520181348781,0.0001162852113094,0.2658648378336956,0.000382742276113,7.105814317909638e-05,22,0.3278509453452831,26409,3,1094,0.2913631633714877,0.4571341259811876,5,peripheral,0
9606.ENSP00000408910,DCTN2,Q13561,Dynactin subunit 2,63,0.0039670045966878,0.0010968305360539,0.267869707283013,0.000114821319157,0.0001748280956073,21,0.1588914208722094,53227,22,371,0.7039556563366087,1.48250131075932,6,connector,0
9606.ENSP00000262719,PHLPP1,O60346,PH domain leucine-rich repeat-containing protein phosphatase 1,23,0.0014482715194257,7.036750187199919e-05,0.2603138646608617,6.577543066787171e-05,5.884893314740923e-05,15,0.1574105952599442,19923,3,1094,0.7939508506616257,-0.4119414879231904,6,connector,0
9606.ENSP00000234701,CLCA1,A8K7I4,Calcium-activated chloride channel regulator 1,18,0.0011334298847679,0.0004315630245543,0.2295368111143935,8.724991994552636e-06,8.784653251635204e-05,9,0.1051955977057399,14723,3,1094,0.728395061728395,-0.4119414879231904,5,connector,0
9606.ENSP00000485525,ADSL,P30566,Adenylosuccinate lyase,92,0.0057930860777029,0.0007282120468719,0.2571276794576292,0.0005848666608718,0.0001776789911715,30,0.1828118494179652,81855,8,1936,0.1642249527410211,3.431651049447396,4,provincial_hub,0
9606.ENSP00000364802,HSPA1A,P0DMV8,Heat shock 70 kDa protein 1A,51,0.0032113846735092,3.172207905871709e-06,0.2733738868107245,0.0010304742979503,9.483229155456564e-05,26,0.3427178834080631,43149,3,1094,0.2491349480968857,1.3262097398855657,3,peripheral,0
